,channel_name,location,channel_id,lat_long,no_videos,word_count,population,video_duration,mean_syl_sec,std_syl_sec
422,GOCC WISCONSIN,"Wisconsin, US",UCltp6NRcZoNXtHllH8VOMYQ,"(43.7844397, -88.7878678)",1,18932,,6562.15,4.933414566263927,
423,Official City of Stonecrest Georgia,"Lithonia, Georgia",UCp3rYzHzhZvd9Y7Ruf1O6kg,"(33.6904766, -84.0838805)",11,126699,2094.0,57357.109000000004,4.931394481714122,0.1388762608193546
424,CityofPalmdale,"Palmdale, California",UCJHoqIwLNDlVFu7vZEJNkdA,"(34.5794343, -118.1164613)",2,6639,157519.0,2343.19,4.930756075707318,0.40833620048174674
425,Larimer County Government,"Fort Collins, Colorado",UCTZ-neESjN8BeV_MKQEc5Uw,"(40.5865084, -105.0797411)",1,4761,165080.0,1910.419,4.929349535556202,
426,Long Branch,"Long Branch, New Jersey",UCazWLOC-aO4snD-76P7IhbA,"(40.30427780000001, -73.9923596)",14,85253,30762.0,37791.819,4.925275600813598,0.2044042703697888
427,"Ally Miller, Pima County District 1 Supervisor","Tucson, Arizona",UC79IZA1RmoYaLOFWLbqY2fQ,"(32.221975, -110.9736346)",283,588503,535677.0,274590.39599999983,4.9239936817522985,0.34905539534546287
428,Town of Old Saybrook Video Library,"Old Saybrook, Connecticut",UCwq-kallXEqCHOy9C35r34A,"(41.2902388, -72.3744107)",180,1289203,10132.0,612598.3269999999,4.922738049669133,0.2397923117311061
429,"Erie County, Pennsylvania - Government","Erie, Pennsylvania",UCDEhxGyYjgZkYrLb-NGeq2g,"(42.1291683, -80.0879985)",60,316021,97369.0,142105.596,4.9227113109527165,0.1986110436701788
430,Vidalia Louisiana,"Vidalia, Louisiana",UCa6cbVaGERmEA6WGt33z-dg,"(31.5654441, -91.4259495)",73,254337,3990.0,130311.492,4.922000024353653,0.41438034203049207
431,LawrenceburgIN,"Lawrenceburg, Indiana",UCQ2JDPkIH-LfT_WRhvrYOMA,"(39.090891, -84.8499504)",106,736485,10919.0,338697.3079999998,4.9199583175428785,0.22439683935306357
432,CITY OF HOLLYWOOD PARK,"Hollywood Park, Texas",UCZnWXeNy5xRZUYFGT86lPMA,"(29.6005047, -98.48724)",10,70643,3365.0,49547.67,4.919502095035904,0.19866710911692312
433,McDowell County Government - North Carolina,"Marion, North Carolina",UC0mTfn8VlbzCAPoS4ypHSbQ,"(35.6839474, -82.0082269)",31,337074,7640.0,138493.89800000002,4.918698395752678,0.21807052674911856
434,Wake County,"Wake County, North Carolina",UCJWIhzcE0ZVmh3kcZSj7gDA,"(35.8031909, -78.5660852)",13,26811,1072203.0,11596.169000000002,4.914732176580283,0.38488573989533736
435,City of Newport RI,"Newport, Rhode Island",UCQEXfLzrNpxe7AZme3dTP0w,"(41.4901024, -71.3128285)",6,30463,24942.0,13547.240000000002,4.913933178716527,0.34439321733823414
436,Piedmont West Virginia Info Network,"Piedmont, West Virginia",UCAzc8Mv9NyzjOG2xD1KZFEg,"(39.4824455, -79.04717529999999)",26,125534,813.0,72898.72500000002,4.913682217356428,0.17034747044399573
437,NH Municipal Association,"Concord, New Hampshire",UCJAJA0rcyK-nviBQyZbDSRw,"(43.2191404, -71.4880368)",1,8336,43019.0,3355.1,4.907244250379352,
438,Sun City AZ,"Sun City, Arizona",UCdLy0Uy9sKWCJNLz37tn5ug,"(33.5975393, -112.2718239)",17,100024,,43740.728,4.900387281000621,0.25765564208708475
439,Rappahannock News,"Washington, Virginia",UCfrlkifp1NKxUnONQi4IFqA,"(38.7125007, -78.15999029999999)",49,521941,127.0,304655.45600000006,4.899982412676052,0.25129553950551703
440,Mendocino County Video,"Mendocino, California",UCSYcX7uSxr-GyRh20JtuwFg,"(39.2917155, -123.7544678)",72,720271,,334260.655,4.89797196634435,0.20661150003395679
441,City of Kitttitas WA 98934,"Kittitas, Washington",UCEzXaxmyxepL5x1y2Y6c3Mw,"(46.9802702, -120.416799)",2,6474,1491.0,3877.7889999999998,4.897001387076056,0.17338848535463774
442,City of San Diego,"San Diego, California",UCCd4neYX0bX9UEYKJZsgpBw,"(32.715738, -117.1610838)",1,6299,1419516.0,2856.42,4.893013906665159,
443,Greenwood Indiana,"Greenwood, Indiana",UC60y34F88H1zvYh0sg3AdTg,"(39.6136578, -86.10665259999999)",8,47707,57375.0,25513.157999999996,4.892125135892781,0.22854332552033285
444,Walton County Georgia Government,"Monroe, Georgia",UCj0GzvDmT3kXYcl731gQhZQ,"(33.7972101, -83.6962483)",14,14968,13484.0,6667.569000000001,4.892120187792767,0.48960929537970654
445,Westchester County Government New York,"White Plains, New York",UCOE0wn9vJwY2TcgJNBIpIDA,"(41.0294391, -73.76753719999999)",5,4183,59047.0,1855.07,4.888598905788495,0.12326132252126064
446,Troy Ohio Videos,"Troy, Ohio",UCNnrSMWnG45jXoMSlwVFSNg,"(39.9872837, -84.20216940000002)",388,1008222,25865.0,440304.94999999984,4.886057601170895,0.25470340778276096
447,CityofAikenSC,"Aiken, South Carolina",UCHtMErIZ0_lu5v3kJAzPitg,"(33.5604168, -81.7195533)",50,324073,30721.0,153805.59099999996,4.880908358020962,0.39437944330097385
448,Governor Asa Hutchinson,"Little Rock, Arkansas",UCLJcNdgp2PMEmiqJEoYzqwQ,"(34.7469468, -92.2889342)",196,355118,198606.0,155948.74200000003,4.87217668164784,0.35486750626503216
449,"City of Cortland, Ohio","Cortland, Ohio",UC4Mu0kFfL3Cei3ZOZc5Zyeg,"(41.3303342, -80.7253575)",44,142153,6800.0,71292.065,4.871933967872935,0.1155238804244611
450,"City of Whitehall, Ohio","Whitehall, Ohio",UCvjez8n5YvwKfEZ-2RX9fkg,"(39.9667308, -82.8854559)",50,252578,18913.0,146883.94199999998,4.8701880962596125,0.3328777424944491
451,New York City Council Member Laurie A. Cumbo,"New York, New York",UCxBVCe2yzB9z24oMA6WovEw,"(40.7872584, -73.971346)",20,4509,19849399.0,1786.917,4.869757171302705,0.5927187356391012
452,LCDC Maine,"Lincoln County, Maine",UCXdIEZfDNG_QgJOAmCtWn8Q,"(44.108282, -69.511031)",19,1664,34204.0,645.2599999999999,4.869622288678607,0.6957106849492182
453,Maryland Business for Responsive Government,"Columbia, Maryland",UC9-lxdBwbGwCMl2Nci9x04A,"(39.197507, -76.853346)",3,10428,,4696.39,4.8692201137802895,0.11667683540000666
454,"City of Dearborn Heights, MI","Dearborn Heights, Michigan",UCRdsv07DxBTF5ZWgiqXPcKw,"(42.3369816, -83.27326269999999)",17,131080,55758.0,53339.19699999999,4.868773225089829,0.31063036218570006
455,Coventry Meeting,"Coventry, Rhode Island",UCJSTZH1geFoNt2VH2lHEGGg,"(41.6993579, -71.54891099999999)",117,501130,34933.0,248980.56899999993,4.865623946189953,0.27973352795774187
456,City of Beaumont - Government,"Beaumont, Texas",UCnY6nNk8zfXZulMg1zbwEBg,"(30.0818183, -94.0944202)",8,1735,119114.0,821.6900000000002,4.864553887039325,0.6058337179662604
457,SB County Community Development & Housing Agency,"Barstow, California",UCObCQpOZy4Z6zfG0pyKxPYQ,"(34.875742, -117.0141083)",3,22254,23916.0,8307.479,4.863395805329693,0.31567850436656314
458,City of Iowa City Government,"Iowa City, Iowa",UCxvLmwfHhFfaqHnQYrhncqA,"(41.6604909, -91.52949319999999)",1,2510,75798.0,1206.6,4.860226545461324,
459,Salem County Government NJ,"Salem, New Jersey",UCB_2qtc3DG7v5JbRq-7HZ-Q,"(39.5870389, -75.4543516)",14,4787,4774.0,1984.496,4.856736886187725,0.30561364426239923
460,"City of Franklin, VA","Franklin, Virginia",UCMmXa_L4o0ZgMpRDCZs1syA,"(36.6776507, -76.9224608)",17,197918,8176.0,90112.115,4.849957555622224,0.16114566927580082
461,Westmoreland City Council Meetings,"Westmoreland, Tennessee",UCgjmBbalmzDjqkZdJbS0AgQ,"(36.561532, -86.24781000000002)",32,177924,2310.0,92591.65899999999,4.849822387354304,0.11606065713802369
462,Humboldt County Iowa,"Humboldt County, Iowa",UCZ6V3dlCIihapzhYTHjpCxw,"(42.7482597, -94.19234000000002)",100,879517,9564.0,386978.20299999986,4.848652937827352,0.15229026245993602
463,Catoosa County Government,"Ringgold, Georgia",UC64XOfN6J-FoYWa8r3nsXzg,"(34.9143911, -85.1120737)",1,5694,3584.0,2881.86,4.844602142944749,
464,Brookfield CT,"Brookfield, Connecticut",UCe10fHPwRxmDQ9oxitmqn3g,"(41.4825947, -73.4095652)",1,5039,17133.0,2366.58,4.834465836949985,
465,Pittsylvania County Virginia,"Pittsylvania County, Virginia",UCBZbT6gifgJPXGq9Rt7z5lw,"(36.7440186, -79.4703885)",52,422201,61258.0,208443.25399999993,4.8344468822995115,0.16130907396969263
466,Citizens4Integrity,"South Dakota, US",UCsao3TFcldlkoBifyeanZ5g,"(43.9695148, -99.9018131)",12,35830,,14642.038,4.825291406166687,0.17531931896957054
467,Town of Stafford Connecticut Government,"Stafford Springs, Connecticut",UClrauDkq299UCkPjf4VTGrw,"(41.9504823, -72.3080983)",4,21631,,8735.37,4.822415872042109,0.34576051235519567
468,City of Marion Illinois,"Marion, Illinois",UCUKL9LxylG4TP8YgVSaSwjQ,"(37.7306054, -88.9331256)",72,427950,17762.0,209092.97800000003,4.81864610693552,0.2692659180559324
469,Logan County Oklahoma Local Government,"Guthrie, Oklahoma",UCHO_-sm2MrhIrt8AivUhMvA,"(35.8780672, -97.4275742)",19,58704,11350.0,34344.898,4.814711879088219,0.2562724254511626
470,Cumberland County PA - Commissioners,"Carlisle, Pennsylvania",UCDuoEW_vCX40aemvNS9RnKw,"(40.20116700000001, -77.188848)",185,870779,,492904.2259999999,4.8123760820638015,0.16785764083891228
471,"City of Altoona, WI","Altoona, Wisconsin",UCLG1rb91nDPt2S5APItfccg,"(44.8046825, -91.44321479999999)",8,6438,7680.0,3266.349,4.811931746360839,0.3648621253482976
472,HopeCity NC,"Winston-Salem, North Carolina",UC2NXXKwoDujEJ38TJufBNTg,"(36.0024462, -80.1493969)",143,497886,244605.0,210694.82999999984,4.80525120454049,0.34725860335963216
473,City of Lennox South Dakota,"Lennox, South Dakota",UCv3rb5ZDuUF4uFk6yzeJEmQ,"(43.3541476, -96.8919951)",2,13907,2386.0,10111.39,4.7982523920548505,0.27929092619547685
474,Wisconsin BBA Government,"Madison, Wisconsin",UCM7ezxQo8FxzGRqalOuAXYw,"(43.0727758, -89.4014904)",12,2625,255214.0,1169.927,4.796429612029256,0.39552805316885736
