,channel_name,location,channel_id,lat_long,no_videos,word_count,population,video_duration,mean_syl_sec,std_syl_sec
21,Green Government Montgomery County MD,"Bethesda, Maryland",UCvrndKse0tZwqiF70tW7m_w,"(38.9850174, -77.08889719999999)",9,3923,,1466.4199999999998,5.4320162035915684,0.4334213184597347
22,League of Minnesota Cities,"St Paul, Minnesota",UC7dPiX83ITyP5YJokRKC8rw,"(44.95609, -93.10669)",16,8733,,3298.4550000000004,5.425508953732058,0.31155910186512537
23,NM Youth And Government,"Albuquerque, New Mexico",UC6ZG3Yjs3LoQnRtvrbZ0gYg,"(35.1116958, -106.6320615)",4,4842,558545.0,1752.71,5.411983542283572,0.18366464860265366
24,City of El Paso Texas,"El Paso, Texas",UCwYdX-cXdg609Ppl8Bjq07g,"(31.7618778, -106.4850217)",27,92219,683577.0,46173.048,5.411660228635675,0.40015677556047535
25,"City of Gravette, Arkansas - Official","Gravette, Arkansas",UC5L-KVG-9wiBtZRebmjX5pQ,"(36.4220207, -94.4535484)",3,1067,3304.0,364.88,5.411570943275741,0.3967945666645433
26,"City of Jacksonville, Florida","Jacksonville, Florida",UCDz1-m1rzglGoYCHG-yTLaA,"(30.3321838, -81.65565099999999)",7,5902,892062.0,2199.19,5.4018353557491565,0.4855158097331859
27,City of Woodbury MN,"Woodbury, Minnesota",UCDsJCsK3YLLVgRbg34kABMA,"(44.9238552, -92.9593797)",312,240156,69756.0,89981.95100000004,5.401293384499612,0.4147005587453534
28,Oklahoma Municipal League,"Oklahoma City, Oklahoma",UCq709y5jiSJf5sPulXKoXww,"(35.493524, -97.507459)",11,3655,643648.0,1455.7779999999998,5.401276928648693,0.47538026325558463
29,City of Milwaukie Oregon,"Milwaukie, Oregon",UCRFbfqe3OnDWLQKSB_m9cAw,"(45.4465323, -122.6323315)",8,8091,20801.0,3203.296,5.390803794265695,0.4324306792568317
30,"County of El Paso, Texas Commissioners Court Public Meetings","El Paso, Texas",UC-2RxYOS6Y6VkDlp5eM0OLA,"(31.7582637, -106.4841176)",52,725858,683577.0,432599.11600000004,5.39037758293489,0.1392137921159014
31,"City of Sanford, FL","Sanford, Florida",UCrOGg6n2Qjw6yujcrwc0Z3g,"(28.8028612, -81.269453)",17,14679,59317.0,5633.496,5.38953605013386,0.4579708147500871
32,Georgia Municipal Cemetery Association,"Atlanta, Georgia",UChq_4HlWrpaIhozKkgS2LWA,"(33.7496533, -84.39302839999999)",1,5824,486290.0,2207.52,5.388513314606231,
33,New Mexico House of Representatives,"Santa Fe, New Mexico",UCIrMQ6ct5h9f2f6-_uZpNOw,"(35.6821782, -105.9396627)",7,1259,83776.0,452.78700000000003,5.387270093695534,0.5000381177626175
34,CityOfBeatriceNE,"Beatrice, Nebraska",UCNqBm24raflfC7qGBgqLQbQ,"(40.2659269, -96.7466913)",93,547113,12295.0,207229.083,5.38516003622256,0.2173615802245552
35,City of Maricopa,"Maricopa, Arizona",UCcGYzD73sGc7P9gH6kZJC3A,"(33.0581063, -112.0476423)",104,316325,48007.0,127477.71699999995,5.379249799419055,0.3967156678271874
36,City of Las Vegas Government,"Las Vegas, Nevada",UCH9xyXcOBq9hEEkkx9iaojw,"(36.1674222, -115.1487183)",17,25476,641676.0,10316.026999999998,5.375077131874134,0.6249120418432843
37,Falls Township PA,"Fairless Hills, Pennsylvania",UCXkR2V1sBOCmVB3S5aHEjTA,"(40.1740577, -74.8530595)",46,412289,,165072.77799999993,5.3726432582944685,0.1621888498550274
38,cityofminneapolis,"Minneapolis, Minnesota",UC1IHi7mIMbFhZo4j_H6QIsA,"(44.977753, -93.2650108)",48,446405,422331.0,170327.92900000003,5.367635232775882,0.27958903388137696
39,"City of Newark, Delaware","Newark, Delaware",UCkUa0_pCSXUlTQaeXLd73eA,"(39.6837226, -75.74965720000002)",103,219589,33858.0,82586.50299999994,5.366111547503078,0.4325811735681661
40,City of Concord NH,"Concord, New Hampshire",UCDD8p5ZXUSNhW3_l8S78W5w,"(43.2081366, -71.5375718)",13,8420,43019.0,3039.0,5.362857166339627,0.27050274917351
41,"City of Brentwood, TN","Brentwood, Tennessee",UCpy4tA7ME8ra38IDTTAXHVw,"(36.0331164, -86.78277720000001)",34,10425,42667.0,4910.253,5.362366518398329,0.5899988690175382
42,City of Greeley Government,"Greeley, Colorado",UCegM3TAyGPayKBUHIeQCv6w,"(40.4261819, -104.6949673)",21,15063,105448.0,4773.269,5.3610194776390205,0.6898950633977106
43,"City of Monroe, Michigan","Monroe, Michigan",UCiO2fcMaMm-faFWMWNTcFIw,"(41.9164343, -83.3977101)",7,29640,19875.0,11519.2,5.358905740083311,0.22881691064588447
44,City of Maplewood MN,"Maplewood, Minnesota",UCFoyXqYAzbo9ieihH-08zAA,"(44.9530215, -92.9952153)",62,57801,40918.0,21462.077,5.350026193059334,0.4832318404253071
45,"Ada County, Idaho","Ada County, Idaho",UCmREyet73vxhBFCffWClEKA,"(43.478767, -116.2420304)",19,161403,456849.0,70780.494,5.342027063853683,0.3065460355024209
46,"City of Little Falls, MN","Little Falls, Minnesota",UCDJcQU_2dOXIixQEJzQ7_aQ,"(45.9805556, -94.36944439999999)",38,250732,8701.0,101210.90100000001,5.335483518310886,0.1335507789157648
47,City of Sioux City Council,"Sioux City, Iowa",UCrekGAbOEqDvdzn9w8FAcoQ,"(42.4965857, -96.40594519999999)",69,812481,82514.0,374493.26399999997,5.333825694418503,0.1296523374845838
48,North Dakota AFL-CIO,"Bismarck, North Dakota",UCNEsTdrFb3fgJBD_QzKr_ug,"(46.803712, -100.771268)",2,2672,72865.0,1096.97,5.3335369712328715,0.30692985359117314
49,Maryland Municipal League,"Annapolis, Maryland",UCgG96iwVAdX7Y-RNL2u8pow,"(38.9777014, -76.5132089)",24,8644,39321.0,3609.4159999999997,5.328543072869783,0.607208256193804
50,SCCMOTV,"St Charles County, Missouri",UClZsKsIKtPJkYwn1BtJgAFA,"(38.7338885, -90.8294002)",402,844253,,351371.1919999997,5.3275856280175695,0.42906252098077
51,City of Republic,"Republic, Missouri",UCmvA973eokxbVlHVODl-1_A,"(37.1200526, -93.4801942)",64,410465,16294.0,174710.68700000003,5.324725721246625,0.20619743731786547
52,"City of Middletown, Ohio","Middletown, Ohio",UCh-fZasNyuDxLyVxjmcaCIw,"(39.5150576, -84.39827629999999)",13,92882,,36064.068,5.324414131346251,0.0879179865786745
53,Jersey City TV,"Jersey City, New Jersey",UCdLHkxEC-vqQLcJ9URFSjxw,"(40.70164740000001, -74.0954634)",1,21922,270753.0,10655.3,5.322197828382601,
54,Sacramento County District Attorney's Office,"Sacramento, California",UCi0AEGcHEB460WW_VC1g6NA,"(38.5841801, -121.4930305)",76,34892,501901.0,13753.791000000005,5.320322367503587,0.46586985918557483
55,"City of Greenville, NC","Greenville, North Carolina",UC3Ud91UVasbpi8wPVDlcCRA,"(35.612661, -77.3663538)",375,302110,92156.0,106515.29400000004,5.31734841528392,0.4512522749014951
56,Adams County CO Government,"Brighton, Colorado",UC7KDbF1XykrYlxnfhEH5XVA,"(39.9239028, -104.8126509)",361,942859,40562.0,451725.0199999999,5.31710017789069,0.33306774255617716
57,Texas Municipal League Intergovernmental Risk Pool,"Austin, Texas",UCCk9C8LXg9ncBGrFlog24Lg,"(30.3316115, -97.6812044)",21,69203,950715.0,23876.157000000007,5.311845137612722,0.4061217574321607
58,"Dayton, Ohio - City Government","Dayton, Ohio",UC8upHquptA3gqvKO7qXZvIg,"(39.75962, -84.194052)",1080,3005549,140371.0,1130207.8659999997,5.3105340145292255,0.3183978499957779
59,City of Mesa,"Mesa, Arizona",UCxhnbjW5_gD9I4gk_5t6-Aw,"(33.4151843, -111.8314724)",190,243349,496401.0,87179.86100000002,5.3095708162145625,0.3988622864566501
60,"City of Centerville, Ohio","Centerville, Ohio",UCXLOLKzXqOtD9BSlPGrDBHQ,"(39.6283928, -84.15938179999999)",67,156724,23787.0,70802.36699999997,5.3033347627443055,0.26624079905339554
61,Kern Government Television,"Kern County, California",UCmUJZiUo7nYq2x3IOnPqd5A,"(35.4937274, -118.8596804)",185,1818059,893119.0,749814.3089999995,5.2998969023096825,0.2635546490991922
62,Vermillion City Council,"Vermillion, South Dakota",UCuzkuhioz6Qycw2w7LVP6Bg,"(42.7801475, -96.9313383)",3,22868,10772.0,9729.460000000001,5.298753476166681,0.4257650329820399
63,"City of Mt. Shasta, California","Mount Shasta, California",UC3RTHPMvubRfg1lMsXVKzNg,"(41.3098746, -122.3105666)",10,3248,3302.0,1472.228,5.289486484875275,0.605425331684417
64,Ottumwa Iowa,"Ottumwa, Iowa",UCSPVpWJuu42NT03S9XgFFAA,"(41.01602930000001, -92.40830220000001)",74,830866,24454.0,326595.8200000001,5.2877732956946115,0.17197260999266972
65,Macomb Board of Commissioners,"Mount Clemens, Michigan",UCDhWnZ6RMvQWhRHVfanLBxw,"(42.5963627, -82.8780386)",234,1814243,16312.0,695476.6970000002,5.287618495298121,0.21960079011973194
66,Sunbury Videos,"Sunbury, Pennsylvania",UCP6obhaxx_cy4JKoPwFLQ5g,"(40.8618561, -76.7779541)",45,171510,9519.0,74583.90300000002,5.285191047150751,0.372612552169836
67,Town of Whitestown,"Whitestown, Indiana",UCpbwXmmh-voRDSN3qtn5Hfw,"(39.9972626, -86.3458296)",176,645435,,287586.8849999999,5.283922443930001,0.3469409031637679
68,City of Boulder,"Boulder, Colorado",UCAHm_LCXkzWpph_NDqZ0I4Q,"(40.0149856, -105.2705456)",839,2055431,107125.0,821524.9380000022,5.283545301153173,0.30092220168523565
69,City of Broken Arrow,"Broken Arrow, Oklahoma",UCAOrvaXvUHojbjsEn72Y-Dw,"(36.060949, -95.7974526)",2,1943,108303.0,697.8199999999999,5.28351918690079,0.06517971617481019
70,Beaufort County NC Government,"Washington, North Carolina",UCucOU3BykLPoXU2KjvX3CCg,"(35.5432661, -77.0547823)",79,1026389,9571.0,398769.6810000002,5.28105137587029,0.18411311556825463
71,Marion CountyFL,"Marion County, Florida",UCmYgAek8oIGmMcZe_y0OGzw,"(29.2787765, -82.12783999999999)",164,1628845,354353.0,789775.16,5.28091906165565,0.31126807749722807
72,Connecticut Conference of Municipalities,"New Haven, Connecticut",UCjkAzQTiyYHKbBul87L2ygg,"(41.297205, -72.9127429)",44,20117,131014.0,8266.639000000001,5.2763597710446035,0.5769531110927054
73,"City of Florence, Kentucky","Florence, Kentucky",UCKAoTbCHbQPSIf80S5wYhlA,"(38.9989499, -84.62661109999999)",32,152768,32305.0,64313.92500000001,5.276107784003046,0.20022369672225782
74,City of Saratoga Springs,"Saratoga Springs, Utah",UCL97Ck7JMecdpmZLudfVhPQ,"(40.3301898, -111.9044877)",81,1072555,29608.0,438399.0760000002,5.270950442533875,0.19544626731586406
75,City of Maple Valley - Official,"Maple Valley, Washington",UCBOARNqj0-h6M0r0q8xgY-A,"(47.3911867, -122.047031)",8,4409,25758.0,1627.0059999999999,5.268092323875034,0.6061523836967928
76,"City of Parkersburg ,WV","Parkersburg, West Virginia",UCnB1o9IZ7LWLn6rcupcRlDw,"(39.2667418, -81.56151349999999)",7,1109,30096.0,503.65,5.266690312441057,0.3724650634914757
77,"City of Clovis, NM","Clovis, New Mexico",UC3jy8DqeO4AA3GiB73JSyMQ,"(34.4047987, -103.2052272)",6,8070,38962.0,3948.5089999999996,5.26399648235045,0.2841721102103898
78,Monroe North Carolina Government,"Monroe, North Carolina",UCzrGKOKR72fmCEn7D0f9mlg,"(35.0110269, -80.5447384)",14,54101,35065.0,22287.886000000002,5.262451624595405,0.343184784127343
79,CityPortStLucie,"Port St. Lucie, Florida",UClq_tphDlSHirmsyLeHJiig,"(27.2730492, -80.3582261)",2,8140,189344.0,2828.14,5.261761727169217,0.07649472321222442
80,CityofGenevaIL,"Geneva, Illinois",UCobt6LRW-pMEmfGNVuy5NxA,"(41.8875281, -88.3053525)",140,1126811,27238.0,479113.2110000003,5.261257859203514,0.23506944737270222
81,"City of Ferrysburg, MI","Ferrysburg, Michigan",UCMqr_ibvxyZlVajOzl-Tr3g,"(43.08446199999999, -86.2203313)",10,75297,2996.0,37237.549,5.259574594747179,0.11991292475739589
82,Utah County Government,"Provo, Utah",UCkRYDnXVDLGv9792bhWn9Wg,"(40.2330328, -111.6568586)",69,826058,117335.0,336325.503,5.256984626888201,0.15851795864265372
83,ErieCountyNY,"Erie County, New York",UC-bqfNQx5a6oFLVOX8kGeiw,"(42.9023958, -78.8661589)",48,54007,925528.0,20663.792999999998,5.256698515276425,0.4025833847056194
84,Bay Saint Louis City Council,"Bay St Louis, Mississippi",UCfZVth2EfSBM4lVvXg_H-kw,"(30.316913, -89.345498)",21,249595,,125022.17699999998,5.256246206643506,0.16616746215489028
85,Cass County ND,"Cass County, North Dakota",UC2YN9WLXQ0kjDXIwdcPYC9Q,"(47.071168, -97.12155790000001)",6,1462,177787.0,611.458,5.252012343441309,0.3499011651549576
86,CityofDestin,"Destin, Florida",UCn_D1Iq1xxZhrkenq1d7EYA,"(30.3935337, -86.4957833)",137,1126702,13765.0,473716.39800000016,5.251719578357565,0.27300345969374595
87,San Diego County Water Authority,"San Diego, California",UCbcVbucoGZmmZSHLKIHe8rg,"(32.8255245, -117.1312866)",129,81730,1419516.0,32278.304999999997,5.2515552259636085,0.5786692952278923
88,"City of Rosemount, MN","Rosemount, Minnesota",UCHJ2l9oFLxFeDoISijWtNMQ,"(44.7394103, -93.12577230000001)",2,8283,24344.0,4096.83,5.251036757890796,0.07007922640644142
89,"Campbell County, Wyoming (Government)","Campbell County, Wyoming",UCl2KcXV1L_HJZlcZyxhapWw,"(44.3956107, -105.4489183)",12,45758,46242.0,17303.889000000003,5.250747963322204,0.14948076432339522
90,"City of Columbia, TN","Columbia, Tennessee",UCjjZOwKcE8_lPi4KmbzoI0g,"(35.616078, -87.03504699999999)",11,7071,38266.0,2609.1390000000006,5.25010970015607,0.5793516997084217
91,Oswego County Government,"Oswego, New York",UC1ELFNINuYGu9umMYQoyKMg,"(43.4576107, -76.50614279999999)",2,8430,17465.0,8495.36,5.247917987431075,0.1543878451082909
92,Maine Bureau of Human Resources,"Augusta, Maine",UCu-W8zF89UHdxwvJbpx6esA,"(44.30731979999999, -69.7828983)",4,1110,18594.0,404.949,5.246710189513039,0.3233387903623225
93,PasadenaChannel,"Pasadena, Texas",UC514B1OlciNW3q7lZU94PiA,"(29.69137, -95.1843055)",77,57087,153520.0,25197.094999999998,5.246603827144779,0.530757980663957
94,WashCo Commissioners,"Hagerstown, Maryland",UCTH850WDpvgeJXEI6Bp-nwg,"(39.64347710000001, -77.72278229999999)",68,521067,,300447.1770000001,5.245028446085151,0.3323353941587436
95,PittCountyNC,"Pitt County, North Carolina",UCNbby4KXClggL9c-kVrpFww,"(35.5589221, -77.4242972)",284,549269,179042.0,240250.6859999999,5.24424879964033,0.3719364670889016
96,cityofokc,"Oklahoma City, Oklahoma",UCu7sVASWMRZ6V6F7EebBlbA,"(35.4675602, -97.5164276)",90,990425,643648.0,383532.701,5.2426338595562045,0.2443437723251152
97,MtPleasantMI,"Mount Pleasant, Michigan",UCbfjqB0HPkc6KHaQa4_zVgg,"(43.59780749999999, -84.7675139)",50,252403,25847.0,101950.59299999998,5.24254989108888,0.39078798289357164
98,"Marin County, California - Topic","Marin County, California",UC7bWBURktSO66zx5c2_iKww,"(38.083403, -122.7633036)",29,20882,260955.0,8883.054999999998,5.242488918920789,0.4322819556304789
99,City of Oxnard Government - Official,"Oxnard, California",UCyYBxLRP6z33lKEkyxreAUA,"(34.2000543, -119.1802258)",18,15086,210037.0,5782.567000000001,5.242302355598579,0.3468347404935331
100,City of Asheville,"Asheville, North Carolina",UC2QG4OKWo8tQ-h3fAwxr4eg,"(35.5950581, -82.5514869)",208,806049,91902.0,329673.1960000001,5.242088306225826,0.3914318968143184
101,City of Corona,"Corona, California",UC9_CEJrk_tnfVR7hyl6Kpwg,"(33.8752935, -117.5664384)",2,2006,167836.0,785.529,5.241451942644144,0.15641840802356227
102,"City of Independence, Missouri","Independence, Missouri",UC95egG4Say-HvNrlJT_yCXg,"(39.0911161, -94.41550679999999)",111,431599,117306.0,182234.764,5.238594477153721,0.3534681993914376
103,"City of Old Town, Maine","Old Town, Maine",UCnnzsRkjzkSJQjzHjys6zGw,"(44.9342349, -68.6453092)",78,453150,7497.0,189479.965,5.238176370965172,0.2530758059388822
104,"City of Shenandoah, Texas","Shenandoah, Texas",UC5-9qrdkO9wip4I0vyCXq9g,"(30.1802151, -95.45577259999999)",29,371792,2885.0,166281.245,5.238099024744805,0.14990831278768788
105,City of Newark NJ,"Newark, New Jersey",UCNiGYwneyNvfAIAcl6eOqmw,"(40.735657, -74.1723667)",79,102854,285154.0,42603.64200000001,5.237514922969292,0.3712517615024078
106,City of San Angelo,"San Angelo, Texas",UCg9JRjdLIq0ZTMHn1fioiJw,"(31.4637723, -100.4370375)",92,917203,100119.0,365098.82500000007,5.2370270712654845,0.24126951191029455
107,"Caribou, Maine","Caribou, Maine",UCunLIlhYrhdsdvfjRKYCYdQ,"(46.8639995, -67.9980365)",75,489360,7684.0,232131.29200000004,5.234480574275044,0.27870319815748745
108,Louisiana Municipal Association,"Baton Rouge, Louisiana",UCHLSr4SUANCYoYEpQatv5UA,"(30.4538341, -91.1798063)",3,1045,225374.0,654.41,5.233565883407667,0.3572685433633041
109,The City of Irving,"Irving, Texas",UCnakJoKIjNzMALPhHXxwFEA,"(32.8140177, -96.9488945)",414,738800,240373.0,307489.0409999997,5.233450726732923,0.37267183130059195
110,City of Mission Tx,"Mission, Texas",UCha07JnlG0muI97kb9u0Iig,"(26.2159066, -98.32529319999999)",85,164293,84424.0,70588.81699999997,5.232575635294676,0.4833778845425452
111,Lee County FL,"Lee County, Florida",UCSnQCEJdfUrobF9dxUltyyA,"(26.6630286, -81.9534815)",44,18800,739224.0,7340.1179999999995,5.231631719868885,0.3014988116145425
112,Dane County Board of Supervisors,"Madison, Wisconsin",UCgfH3y3SXmNkSZkjp7kCUdQ,"(43.072422, -89.382392)",2,1126,255214.0,477.719,5.2282457856504205,0.21159875900323694
113,City of San Clemente,"San Clemente, California",UCMJuEbFMmHeG8RBe-m6s7JQ,"(33.4273521, -117.6126004)",84,1033782,65267.0,436849.13,5.228096622727715,0.2513898848900058
114,City of Warrenville,"Warrenville, Illinois",UCcO8hN6YoUmWZrDFNASMzAQ,"(41.81780699999999, -88.17340209999999)",84,701719,13269.0,293548.6880000001,5.228011986911496,0.2285499554061142
115,New Jersey League of Municipalities,"Trenton, New Jersey",UCbce9oVw9LvO6vxNz_89mZw,"(40.2222399, -74.7735452)",13,11420,84964.0,5124.318,5.227592660522204,0.4040437100748858
116,City of Newberry,"Newberry, Florida",UC9MNwMuigm3PeKHacwz2xQQ,"(29.6463535, -82.6065023)",78,999022,5942.0,409979.469,5.227357713846032,0.1548194514965484
117,Kentucky League of Cities,"Lexington, Kentucky",UCr7WAKemYwT87iELNQfcybQ,"(38.045112, -84.49808999999999)",28,38552,,15539.253999999999,5.2264731972496135,0.39951448638818793
118,Council Meetings - City of Rochester Hills,"Rochester, Michigan",UCRzGsdrhFdimra0g1Gw4HqA,"(42.6833372, -83.1372157)",17,296862,13029.0,117778.609,5.226213869043862,0.0827354593663775
119,LakeCountyTV,"Round Lake Beach, Illinois",UCnKKNni9P9HgvUhNlszYu4w,"(42.3785576, -88.0857913)",13,8322,27607.0,3099.7390000000005,5.224744671994708,0.36905451271343054
120,City Channel 4 - Iowa City,"Iowa City, Iowa",UCDfQkGRr6dgTs07YZdCUH_g,"(41.6609059, -91.5315148)",684,2953891,75798.0,1168988.6150000019,5.224640653680043,0.4166779390915021
121,"Town of Chester, NY","Chester, New York",UCcfUBNLL64j3sKxfuxTtcog,"(41.3625937, -74.27126129999999)",30,251787,12187.0,118176.04599999997,5.223273329771778,0.18003063229759517
122,TownofCohasset,"Cohasset, Massachusetts",UCtPH47tVZoFwqFm8nN7JrMw,"(42.24176749999999, -70.8036544)",32,503121,8516.0,222815.85699999996,5.220615374585233,0.16654236155013494
123,austintexasgov,"Austin, Texas",UCa6J9IdgL8Lir6YIQNsbkgQ,"(30.2671108, -97.7352672)",45,32181,950715.0,13445.893000000004,5.219766983078498,0.43477604385245544
124,"City of Springdale, Arkansas","Springdale, Arkansas",UCDBXZsuggNDRY1QTEqH2MQg,"(36.18674420000001, -94.1288141)",83,786569,79599.0,318151.5570000001,5.2182832403913135,0.18469701434648664
125,"City of Anderson, Indiana","Anderson, Indiana",UCMDJQTb1x8xHky-Jxmu8PIA,"(40.1053196, -85.6802541)",149,352603,55318.0,167788.85000000018,5.216593231944929,0.4222081606072422
126,CityofPhoenixAZ,"Phoenix, Arizona",UCx7FQNzOFCbtExt_gRub9JQ,"(33.4483771, -112.0740373)",1107,3582667,1626078.0,1368650.376999999,5.216569465558917,0.4091875870009076
127,"City of Victoria, MN","Victoria, Minnesota",UCx9xeLv6v0F0bMzK1BxMEzQ,"(44.8587227, -93.6615338)",12,81355,9305.0,33308.397999999994,5.213218747450181,0.11972998412799726
128,City of Horace,"Horace, North Dakota",UCHdzO6P-1enZkMG7Z87QdGA,"(46.7588553, -96.9036971)",42,430262,2717.0,197068.47000000003,5.212945661725813,0.1587057371604531
129,City of Charlotte,"Charlotte, North Carolina",UCr8xW9jfl6OiwjQuRwX4bWQ,"(35.2270869, -80.8431267)",84,474547,859035.0,190785.88199999998,5.212739717444093,0.35238987931220095
130,Surprise TV,"Surprise, Arizona",UChvREiqh2Lc3HoTGqcPb3vg,"(33.6297375, -112.3654922)",144,240296,134085.0,95658.71200000001,5.212688232782284,0.32656408382407526
131,ConnecticutNetworkTV,"Hartford, Connecticut",UC5i71kM8tvpFKG60XyLLRMA,"(41.7584274, -72.67567740000001)",14,8030,123400.0,2860.137,5.212610877007762,0.20628056595509525
132,eGov PDX,"Portland, Oregon",UCcPIUh7CWwtBXisMPHWG65g,"(45.5122308, -122.6587185)",24,422860,647805.0,180755.08599999995,5.2071876536944925,0.1417688138369826
133,"City of Hendersonville, TN","Hendersonville, Tennessee",UCy-XOO0Miyy8QIuE4B4fRuA,"(36.3047735, -86.6199957)",79,915301,57517.0,354435.21099999995,5.2037716857813745,0.2987110622022506
134,James City County,"James City County, Virginia",UC1YcYMSX__2VbO2Mi3udVRw,"(37.3002132, -76.8028933)",159,547960,75524.0,242617.72499999992,5.203351545212588,0.3947665118268917
135,CityOfGreenBay,"Green Bay, Wisconsin",UCd0WTidHx2LPWIJY-xrH9eg,"(44.5133188, -88.0132958)",338,2453873,105116.0,974479.386,5.202789379629991,0.24062740953239303
136,City Channel Columbia MO,"Columbia, Missouri",UCMvapUGDpxyLUUWNO8fxkdA,"(38.9517053, -92.3340724)",177,193834,121717.0,76677.31,5.201884057772576,0.4311472935112475
137,Pennsylvania Youth and Government,"White Haven, Pennsylvania",UCcBuZVx4F52Dm_i2btUngFA,"(41.0268556, -75.7135563)",33,21249,,9168.61,5.20107425479171,0.44654275299197965
138,"Eagle Mountain City, Utah","Eagle Mountain, Utah",UCE6PWygb_g-qDncu6tkhU-g,"(40.31411689999999, -112.006882)",78,928360,32204.0,388922.483,5.197545638778984,0.19725325090730852
139,syracuse.com,"Syracuse, New York",UChbYn187BlBxq5LfGqZSv_A,"(43.0481221, -76.14742439999999)",107,47840,143396.0,17984.90899999999,5.1956276027690365,0.5646571228120141
140,Spring Hill,"Spring Hill, Tennessee",UCQEXn0j-fLqffqG4s6QBFfQ,"(35.751179, -86.9300023)",14,19491,39602.0,8362.868,5.1952221521849,0.5218796053409698
141,"City of Rio Rancho, NM Municipal Government","Rio Rancho, New Mexico",UCQbt-un8dQITuiIRLcbtq8Q,"(35.3109281, -106.6850204)",19,27715,96159.0,9456.484,5.194724816633055,0.4801255296007767
142,City of Fairhope,"Fairhope, Alabama",UCQsD9rKnDZ7Fik7D22bI0gw,"(30.5229719, -87.9033261)",182,1923680,20935.0,773435.7409999999,5.194191577834662,0.20388994148872447
143,City of Santa Clara,"Santa Clara, California",UCBMGaWSyRhcGxg0fSG4msDA,"(37.3541079, -121.9552356)",115,1274012,127134.0,553166.4870000002,5.1929540088223405,0.28457623536693294
144,"City of Alice, TX","Alice, Texas",UC_9x9G-IMyGx4zPHxawQr5A,"(27.7522487, -98.0697249)",84,727211,18949.0,307863.52999999997,5.192118646829519,0.25039966153483884
145,Contra Costa Television,"Martinez, California",UCD1z6XC8_fqZXP3HayI-kQA,"(37.9952189, -122.1220089)",57,402042,38373.0,147028.85,5.19205373686172,0.28749180514779993
146,"City of Bloomington, Illinois","Bloomington, Illinois",UCS8WR70NFd2XMmFYRDHEGEw,"(40.4842027, -88.99368729999999)",98,1165334,77934.0,467543.698,5.192031183943077,0.2299243404429613
147,Hillsborough County,"Hillsborough County, Florida",UC-ltrT7T2PDRdEEoU5NtOEg,"(27.9903597, -82.3017728)",70,39574,1408566.0,15741.842999999999,5.191180918679852,0.391489329277738
148,"City of Austin, Minnesota","Austin, Minnesota",UCz8RVD73YkHomdRrT_5LBwQ,"(43.6666296, -92.97463669999999)",97,81298,24933.0,32465.743000000002,5.188102238472334,0.4174806313028325
149,Maryland YMCA Youth & Government,"Gwynn Oak, Maryland",UCC0szOnY50huTkcp1kqB3Rg,"(39.326126, -76.6837006)",1,1703,,872.74,5.186985726878949,
150,Town of Orangetown,"Orangetown, New York",UCiO7szhtu7X___gRqoFkuOg,"(41.0555461, -73.94773839999999)",24,160102,,87107.65800000001,5.186793583507252,0.3945271824915042
151,City of San Antonio,"San Antonio, Texas",UCc1cljyxKwZYVnDapMi26eQ,"(29.4241219, -98.49362819999999)",184,142702,1511946.0,56224.560999999965,5.185028280639728,0.4404851450926093
152,City of Grand Marais,"Grand Marais, Minnesota",UC8OF_XBXW9WJuCZEIzxSlIQ,"(47.7504469, -90.3342727)",18,233692,1359.0,91743.285,5.184099068714564,0.14973966662654428
153,NYC Mayor's Office,"New York, New York",UClnI1zhyzv_BPb-VSHEtniw,"(40.7133871, -74.00743609999999)",852,3698787,19849399.0,1540904.2380000004,5.183501536552898,0.37575241617583993
154,SCCGov Chambers,"Santa Clara County, California",UCF4DoI6Shq5PtVGaQRrAerw,"(37.3336581, -121.8907041)",11,152126,1938153.0,73705.27900000001,5.182875223809343,0.23745163128547503
155,CityOfNormanOK,"Norman, Oklahoma",UCRUefgW2qlHl6uJwIS7KQXQ,"(35.2225668, -97.4394777)",71,311789,122843.0,125290.45899999996,5.181355862216172,0.3254843817678948
156,"Lebanon, Indiana","Lebanon, Indiana",UCr7VceVqyRwrsJEhejJinGQ,"(40.0483744, -86.4691677)",5,8738,15959.0,3277.7400000000002,5.181143638156091,0.6530097063547647
157,Texas Counties,"Austin, Texas",UCypcad6NCCz1KNAkygXmNzA,"(30.2762229, -97.74499279999999)",135,162730,950715.0,60645.64899999996,5.18024070253712,0.3821854200967414
158,Bellevue Television,"Bellevue, Washington",UCW22suSoHWumwarCbu3NkOg,"(47.60455899999999, -122.1305799)",3,2281,144444.0,885.439,5.180094345825197,0.5390458841300984
159,Sullivan County NY Government,"Monticello, New York",UC-6KnDAiuQEnDNWO13Ev1sw,"(41.6584571, -74.6917748)",26,19938,6464.0,8480.158999999998,5.1782533672922,0.4239794576045655
160,Saint Francis MN,"St Francis, Minnesota",UCC44uGV-mS_2SCvUhBy_scA,"(45.3974847, -93.38792199999999)",53,378531,,174826.08299999998,5.177671641457037,0.3352240283727687
161,warren-ma.info,"Warren, Massachusetts",UCSemWSWv9vohWfvvyHaYAlA,"(42.2125423, -72.19118499999999)",10,46576,5218.0,18593.639000000003,5.176127698796451,0.48047108049198595
