,channel_name,location,channel_id,lat_long2,no_videos,wordcount,mean_syl_sec
310,City of Park City,"Park City, Kansas",UCKWmOfUwmKPzAyvzvEvhs5A,"(37.8000123, -97.31837619999999)",45,416422,5.060381347787723
311,showmecity,"Missouri City, Texas",UCpaZmht_7_Zvunux1zkDt0w,"(29.6185669, -95.5377215)",238,444878,5.0596980471308655
312,City of Aberdeen,"Aberdeen, South Dakota",UC2WDoaiGN9nFc1Zb4pyfpyw,"(45.4646985, -98.4864829)",70,348968,5.058127460784722
313,"City of Santa Rosa, California","Santa Rosa, California",UChF7Zl4VNfZFm-IUdtX6B_A,"(38.440429, -122.7140548)",108,1403611,5.057766841090904
314,TarrantCountyTX,"Tarrant County, Texas",UCreZ2-bXXetuRiKZAtXcNNA,"(32.7732044, -97.35165579999999)",38,253794,5.057537757752339
315,"City of Moore, Oklahoma","Moore, Oklahoma",UCak9ErtW71dyEoj7TmLlqHw,"(35.3395079, -97.48670279999999)",330,848739,5.056952009476939
316,"City of Murfreesboro, TN - Government","Murfreesboro, Tennessee",UCbOkz_e8N4rIFiZkmWTkf8g,"(35.844432, -86.393051)",1124,1955393,5.056725545745827
317,Falmouth Maine,"Falmouth, Maine",UCHeGX1GVbkUOB-KSASNDvQw,"(43.7435343, -70.2601759)",25,29363,5.055299802823455
318,IndianaGovernment,"Indianapolis, Indiana",UCozYWNqZFDoraG0emqv5pxg,"(39.76906899999999, -86.164862)",8,23512,5.054497819974534
319,RevereTV,"Revere, Massachusetts",UCGl4hREwgcCQxKA52C7Y_Bg,"(42.410139, -71.01202540000001)",622,1676186,5.053785532118982
320,Default Name,"New Hampshire, US",UCkEAENbr83XdYgNYXG1ZJMw,"(43.1938516, -71.5723953)",1,5844,5.053311109347299
321,KingCountyTV,"Seattle, Washington",UCmsDL2CRIMtE1I6-eZqEx4g,"(47.590017, -122.3344614)",66,234748,5.052961331383945
322,"City of Jacksonville, Alabama","Jacksonville, Alabama",UCvjFmKc5lozHgaRQ6wB8D_Q,"(33.8137125, -85.76135359999999)",83,430505,5.052922925806861
323,City of Georgetown,"Georgetown, Kentucky",UCZeRkYcroXWINV1rkHVlhzw,"(38.2097967, -84.55883109999999)",66,684430,5.052124591104893
324,City of Irondale Alabama Media Channel,"Irondale, Alabama",UCGKMIsxUusCwlTEQpaKBs1Q,"(33.5381601, -86.70721019999999)",23,88300,5.0514738503918934
325,mohavecountyus,"Mohave County, Arizona",UCxpmqlXxz7UYF9ol80H7dEQ,"(35.2143346, -113.7632828)",17,167932,5.05127479464024
326,City of Whittier - Council,"Whittier, Alaska",UCR695k5WfvSv0tc64m1qcqA,"(60.77433059999999, -148.6851493)",10,108245,5.04976190619764
327,pcctv1,"Clearwater, Florida",UCXRyq4zJBFhs8zpTiIGQL5Q,"(27.9616958, -82.8013817)",4,1866,5.049595710143193
328,West Virginia Judiciary,"Charleston, West Virginia",UC_zHDYG-Whdzh7nQPyfsItg,"(38.3368502, -81.6111525)",76,577115,5.048346202307581
329,CCG TV,"Columbus, Georgia",UC3gct-vKDbdIuF1ZTAvtOhA,"(32.4609764, -84.9877094)",247,1977389,5.048181319687244
330,Town of Apple Valley Utah,"Apple Valley, Utah",UCxfcnSqTRCiZPLqABwMXslQ,"(37.10441550000001, -113.1251775)",3,32368,5.047142890499834
331,"DuPage County, Illinois","Dupage County, Illinois",UC45ol-gzYfebGvZ3OLhzClA,"(41.8243831, -88.0900762)",30,41618,5.047133854107289
332,City of Punta Gorda,"Punta Gorda, Florida",UC-Qo-k4PpXWo4IJQah6_Kqw,"(26.9297836, -82.0453664)",236,1517278,5.046859440187271
333,City of Bellingham Washington,"Bellingham, Washington",UCtKY2DeY9GkBr35opV7E2Lg,"(48.7519112, -122.4786854)",236,803953,5.046281484435095
334,"City of Beaumont, Ca","Beaumont, California",UCvvsX3mVAdUeT7KLJnFgHYA,"(33.9294606, -116.977248)",104,1061676,5.044755560259865
335,Amherst Council Clerk,"Amherst, Ohio",UCVbdl2V5DTld5jQ-TSnz5cw,"(41.39825099999999, -82.227454)",87,351302,5.04390814712065
336,"City of Colonial Heights, Virginia","Colonial Heights, Virginia",UC1tsRrPU64271-CaggUfUmA,"(37.244039, -77.4102607)",9,18984,5.0424859733993275
337,West Jordan,"West Jordan, Utah",UC7Up4AfoWj0KebppgTvnLSg,"(40.6096698, -111.9391031)",145,1695026,5.041685419170382
338,"City of Hot Springs, Arkansas Government","Hot Springs, Arkansas",UCvSlS0dSXw_50XhzT9E_kMA,"(34.5037004, -93.0551795)",172,706134,5.041454237454815
339,City of Texas City,"Texas City, Texas",UCdQS7VQBfII7oORQr99sh9g,"(29.383845, -94.9027002)",25,20417,5.041314392572427
340,cityofmesquitetexas,"Mesquite, Texas",UCISuuU-1AZXnm0-k_2sfJOQ,"(32.76679550000001, -96.5991593)",4,6405,5.040855603325706
341,HardinCountyIA,"Hardin County, Iowa",UCldvOvGdfCT76xAGFpJ5u7Q,"(42.4285425, -93.17796589999999)",116,397607,5.0403060736218395
342,"Cedar City, Utah - City Council","Cedar City, Utah",UCvv1r4z0JQJjAIgeLmMGmbA,"(37.6777847, -113.0610041)",34,329945,5.039562477316024
343,"City of Kalispell, Montana","Kalispell, Montana",UCED-PH7x6SQAWtMpdpp9XVg,"(48.1919889, -114.316813)",20,114270,5.039251574926841
344,Essex County New York,"Essex County, New Jersey",UCUTiUCto7MsxIbqK5M1rMrA,"(40.7947466, -74.2648829)",106,362244,5.0375323630583715
345,Newark City Council,"Newark, Ohio",UCWZ28Fau9gZ1D0U8F2L6UKg,"(40.057701, -82.4040069)",203,1184678,5.037420611492045
346,CityofLeagueCityTX,"League City, Texas",UCRyTPtc3XEWCGGpT7ddmcJg,"(29.5074538, -95.0949303)",21,4956,5.037096330790012
347,City of Stayton,"Stayton, Oregon",UCVALQZk-x5ZMWOCGh_fKPtg,"(44.8006775, -122.7945333)",47,459180,5.036714711637277
348,City of Guthrie Oklahoma,"Guthrie, Oklahoma",UCXgtbXE9AmzOLEYm1wxe6tg,"(35.878937, -97.42531849999999)",645,2205474,5.035836964554242
349,City of Sherwood Arkansas,"Sherwood, Arkansas",UCF1JLn4XfEMB_403o-gj7PQ,"(34.8150907, -92.2243153)",38,191536,5.035785557412205
350,"City of Huntington, Indiana","Huntington, Indiana",UC8hwdT9hgRsEUzl-aPlM1vA,"(40.8831011, -85.49747599999999)",5,2992,5.033909376276644
351,City of Lowell,"Lowell, Michigan",UCeObjQ4b9fmrV22EiBb5KSA,"(42.9336426, -85.34196089999999)",172,840881,5.03328129718273
352,City of Cordova Alaska,"Cordova, Alaska",UC5pGOg0PI8_MuUIJScsw6Gw,"(60.5424087, -145.7525414)",27,366123,5.032545804203132
353,"City of Brighton, CO (KBRI-8)","Brighton, Colorado",UC7fxHV_KyittFb3M9jDbBGA,"(39.9852617, -104.8205283)",86,239781,5.02996614713302
